"","film","year_film","nom_bp","nom_dir","nom_aml","nom_afl","nom_cin","nom_prod","nom_wa","nom_wo","nom_fm","nom_mo","nom_ms","nom_ams","nom_afs","nom_vis","nom_cos","nom_mak","nom_sm","won_bp"
"141","Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964)",1964,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"142","Drive My Car (2021)",2021,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"143","Driving Miss Daisy (1989)",1989,1,0,1,1,0,1,0,0,1,0,0,1,0,0,1,1,0,1
"144","Dune (2021)",2021,1,0,0,0,1,1,1,0,1,1,0,0,0,1,1,1,1,0
"145","Dunkirk (2017)",2017,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0
"146","E.T. The Extra-Terrestrial (1982)",1982,1,1,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,0
"147","East Lynne (1930)",1930,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"148","Elizabeth (1998)",1998,1,0,0,1,1,1,0,0,0,1,0,0,0,0,1,1,0,0
"149","Elmer Gantry (1960)",1960,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
"150","Elvis (2022)",2022,1,0,1,0,1,1,0,0,1,0,0,0,0,0,1,1,1,0
"151","Erin Brockovich (2000)",2000,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"152","Everything Everywhere All at Once (2022)",2022,1,1,0,1,0,0,0,1,1,1,1,1,1,0,1,0,0,1
"153","Extremely Loud & Incredibly Close (2011)",2011,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"154","Fanny (1961)",1961,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
"155","Fargo (1996)",1996,1,1,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0
"156","Fatal Attraction (1987)",1987,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"157","Father of the Bride (1950)",1950,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"158","Fences (2016)",2016,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"159","Fiddler on the Roof (1971)",1971,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0
"160","Field of Dreams (1989)",1989,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"161","Finding Neverland (2004)",2004,1,0,1,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0
"162","Five Easy Pieces (1970)",1970,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"163","Five Star Final (1931)",1931,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"164","Flirtation Walk (1934)",1934,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"165","For Whom the Bell Tolls (1943)",1943,1,0,1,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0
"166","Ford v Ferrari (2019)",2019,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"167","Foreign Correspondent (1940)",1940,1,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0
"168","Forrest Gump (1994)",1994,1,1,1,0,1,1,1,0,1,1,0,1,0,1,0,1,1,1
"169","Four Daughters (1938)",1938,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
"170","Four Weddings and a Funeral (1994)",1994,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"171","Friendly Persuasion (1956)",1956,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0
"172","From Here to Eternity (1953)",1953,1,1,1,1,1,0,0,0,1,1,0,1,1,0,1,0,1,1
"173","Frost/Nixon (2008)",2008,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"174","Funny Girl (1968)",1968,1,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,1,0
"175","Gandhi (1982)",1982,1,1,1,0,1,1,0,1,1,1,0,0,0,0,1,1,1,1
"176","Gangs of New York (2002)",2002,1,1,1,0,1,1,0,1,1,0,1,0,0,0,1,0,1,0
"177","Gaslight (1944)",1944,1,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0
"178","Gentleman's Agreement (1947)",1947,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1
"179","Get Out (2017)",2017,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"180","Ghost (1990)",1990,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0
"181","Giant (1956)",1956,1,1,1,0,0,1,1,0,1,1,0,0,1,0,1,0,0,0
"182","Gigi (1958)",1958,1,1,0,0,1,1,1,0,1,1,1,0,0,0,1,0,0,1
"183","Gladiator (2000)",2000,1,1,1,0,1,1,0,1,1,1,0,1,0,1,1,0,1,1
"184","Going My Way (1944)",1944,1,1,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,1
"185","Gone with the Wind (1939)",1939,1,1,1,1,1,1,0,0,1,1,0,0,1,1,0,0,1,1
"186","Good Fellas (1990)",1990,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0
"187","Good Night, and Good Luck. (2005)",2005,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
"188","Good Will Hunting (1997)",1997,1,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0
"189","Goodbye, Mr. Chips (1939)",1939,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"190","Gosford Park (2001)",2001,1,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0
"191","Grand Hotel (1931)",1931,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"192","Grand Illusion (1938)",1938,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"193","Gravity (2013)",2013,1,1,0,1,1,1,0,0,1,1,0,0,0,1,0,0,1,0
"194","Great Expectations (1947)",1947,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"195","Green Book (2018)",2018,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1
